distance,loss
712.500,30.427
712.600,30.450
712.700,30.464
712.800,30.472
712.900,30.475
713.000,30.473
713.100,30.468
713.200,30.460
713.300,30.451
713.400,30.441
713.500,30.433
713.600,30.425
713.700,30.420
713.800,30.417
713.900,30.418
714.000,30.423
714.100,30.432
714.200,30.447
714.300,30.468
714.400,30.494
714.500,30.523
714.600,30.554
714.700,30.586
714.800,30.619
714.900,30.650
715.000,30.678
715.100,30.704
715.200,30.728
715.300,30.751
715.400,30.775
715.500,30.802
715.600,30.832
715.700,30.868
715.800,30.909
715.900,30.958
716.000,31.013
716.100,31.071
716.200,31.132
716.300,31.194
716.400,31.255
716.500,31.314
716.600,31.368
716.700,31.417
716.800,31.460
716.900,31.497
717.000,31.528
717.100,31.554
717.200,31.573
717.300,31.587
717.400,31.594
717.500,31.596
717.600,31.593
717.700,31.588
717.800,31.583
717.900,31.579
718.000,31.578
718.100,31.583
718.200,31.594
718.300,31.613
718.400,31.640
718.500,31.671
718.600,31.704
718.700,31.738
718.800,31.771
718.900,31.800
719.000,31.823
719.100,31.839
719.200,31.848
719.300,31.851
719.400,31.850
719.500,31.846
719.600,31.840
719.700,31.832
719.800,31.825
719.900,31.819
720.000,31.815
720.100,31.812
720.200,31.811
720.300,31.811
720.400,31.813
720.500,31.817
720.600,31.823
720.700,31.831
720.800,31.839
720.900,31.846
721.000,31.852
721.100,31.854
721.200,31.852
721.300,31.844
721.400,31.828
721.500,31.804
721.600,31.774
721.700,31.739
721.800,31.703
721.900,31.668
722.000,31.637
722.100,31.612
722.200,31.596
722.300,31.591
722.400,31.596
722.500,31.606
722.600,31.617
722.700,31.626
722.800,31.630
722.900,31.623
723.000,31.603
723.100,31.566
723.200,31.513
723.300,31.450
723.400,31.382
723.500,31.312
723.600,31.246
723.700,31.189
723.800,31.145
723.900,31.118
724.000,31.107
724.100,31.109
724.200,31.118
724.300,31.130
724.400,31.140
724.500,31.145
724.600,31.139
724.700,31.120
724.800,31.087
724.900,31.046
725.000,31.002
725.100,30.961
725.200,30.926
725.300,30.904
725.400,30.900
725.500,30.917
725.600,30.956
725.700,31.011
725.800,31.077
725.900,31.148
726.000,31.220
726.100,31.287
726.200,31.343
726.300,31.384
726.400,31.409
726.500,31.420
726.600,31.420
726.700,31.413
726.800,31.400
726.900,31.385
727.000,31.370
727.100,31.359
727.200,31.352
727.300,31.349
727.400,31.349
727.500,31.351
727.600,31.354
727.700,31.358
727.800,31.362
727.900,31.365
728.000,31.367
728.100,31.368
728.200,31.368
728.300,31.368
728.400,31.367
728.500,31.366
728.600,31.365
728.700,31.364
728.800,31.363
728.900,31.363
729.000,31.363
729.100,31.363
729.200,31.363
729.300,31.364
729.400,31.364
729.500,31.364
729.600,31.364
729.700,31.364
729.800,31.364
729.900,31.364
730.000,31.364
730.100,31.364
730.200,31.364
730.300,31.364
730.400,31.364
730.500,31.364
730.600,31.364
730.700,31.364
730.800,31.364
730.900,31.364
731.000,31.364
731.100,31.364
731.200,31.364
731.300,31.364
731.400,31.364
731.500,31.364
731.600,31.364
731.700,31.364
731.800,31.364
731.900,31.364
732.000,31.364
732.100,31.364
732.200,31.364
732.300,31.364
732.400,31.364
732.500,31.364
732.600,31.364
732.700,31.364
732.800,31.364
732.900,31.364
733.000,31.364
733.100,31.364
733.200,31.364
733.300,31.364
733.400,31.364
733.500,31.364
733.600,31.364
733.700,31.365
733.800,31.365
733.900,31.365
734.000,31.365
734.100,31.365
734.200,31.365
734.300,31.364
734.400,31.363
734.500,31.362
734.600,31.361
734.700,31.360
734.800,31.360
734.900,31.360
735.000,31.362
735.100,31.364
735.200,31.368
735.300,31.372
735.400,31.376
735.500,31.379
735.600,31.380
735.700,31.378
735.800,31.373
735.900,31.364
736.000,31.350
736.100,31.335
736.200,31.320
736.300,31.309
736.400,31.305
736.500,31.311
736.600,31.329
736.700,31.363
736.800,31.414
736.900,31.478
737.000,31.549
737.100,31.623
737.200,31.692
737.300,31.753
737.400,31.798
737.500,31.823
737.600,31.824
737.700,31.804
737.800,31.769
737.900,31.726
738.000,31.681
738.100,31.640
738.200,31.609
738.300,31.594
738.400,31.602
738.500,31.627
738.600,31.664
738.700,31.708
738.800,31.752
738.900,31.790
739.000,31.816
739.100,31.825
739.200,31.811
739.300,31.776
739.400,31.725
739.500,31.662
739.600,31.591
739.700,31.517
739.800,31.444
739.900,31.377
740.000,31.319
740.100,31.271
740.200,31.233
740.300,31.202
740.400,31.178
740.500,31.160
740.600,31.146
740.700,31.136
740.800,31.129
740.900,31.123
741.000,31.120
741.100,31.118
741.200,31.119
741.300,31.121
741.400,31.126
741.500,31.132
741.600,31.140
741.700,31.148
741.800,31.156
741.900,31.163
742.000,31.166
742.100,31.164
742.200,31.156
742.300,31.141
742.400,31.117
742.500,31.087
742.600,31.051
742.700,31.015
742.800,30.979
742.900,30.947
743.000,30.922
743.100,30.907
743.200,30.904
743.300,30.913
743.400,30.932
743.500,30.960
743.600,30.994
743.700,31.033
743.800,31.074
743.900,31.116
744.000,31.157
744.100,31.196
744.200,31.231
744.300,31.264
744.400,31.293
744.500,31.319
744.600,31.340
744.700,31.358
744.800,31.370
744.900,31.378
745.000,31.382
745.100,31.383
745.200,31.382
745.300,31.378
745.400,31.373
745.500,31.367
745.600,31.361
745.700,31.356
745.800,31.352
745.900,31.349
746.000,31.347
746.100,31.348
746.200,31.352
746.300,31.359
746.400,31.369
746.500,31.382
746.600,31.395
746.700,31.407
746.800,31.414
746.900,31.414
747.000,31.404
747.100,31.383
747.200,31.348
747.300,31.300
747.400,31.241
747.500,31.176
747.600,31.108
747.700,31.042
747.800,30.982
747.900,30.930
748.000,30.892
748.100,30.868
748.200,30.857
748.300,30.855
748.400,30.860
748.500,30.871
748.600,30.884
748.700,30.896
748.800,30.907
748.900,30.913
749.000,30.917
749.100,30.917
749.200,30.916
749.300,30.913
749.400,30.910
749.500,30.906
749.600,30.903
749.700,30.901
749.800,30.901
749.900,30.900
750.000,30.901
750.100,30.901
750.200,30.902
750.300,30.903
750.400,30.904
750.500,30.905
750.600,30.905
750.700,30.905
750.800,30.905
750.900,30.905
751.000,30.905
751.100,30.904
751.200,30.904
751.300,30.904
751.400,30.903
751.500,30.903
751.600,30.903
751.700,30.903
751.800,30.903
751.900,30.903
752.000,30.904
752.100,30.905
752.200,30.906
752.300,30.907
752.400,30.907
752.500,30.908
752.600,30.907
752.700,30.906
752.800,30.904
752.900,30.901
753.000,30.897
753.100,30.894
753.200,30.891
753.300,30.891
753.400,30.892
753.500,30.896
753.600,30.904
753.700,30.917
753.800,30.933
753.900,30.954
754.000,30.980
754.100,31.011
754.200,31.046
754.300,31.088
754.400,31.134
754.500,31.186
754.600,31.242
754.700,31.301
754.800,31.362
754.900,31.423
755.000,31.482
755.100,31.539
755.200,31.592
755.300,31.640
755.400,31.682
755.500,31.719
755.600,31.751
755.700,31.777
755.800,31.798
755.900,31.814
756.000,31.824
756.100,31.828
756.200,31.829
756.300,31.827
756.400,31.823
756.500,31.820
756.600,31.818
756.700,31.818
756.800,31.823
756.900,31.833
757.000,31.846
757.100,31.860
757.200,31.870
757.300,31.876
757.400,31.873
757.500,31.859
757.600,31.831
757.700,31.786
757.800,31.729
757.900,31.662
758.000,31.592
758.100,31.523
758.200,31.460
758.300,31.407
758.400,31.370
758.500,31.352
758.600,31.351
758.700,31.361
758.800,31.377
758.900,31.391
759.000,31.400
759.100,31.396
759.200,31.374
759.300,31.328
759.400,31.262
759.500,31.178
759.600,31.084
759.700,30.983
759.800,30.882
759.900,30.785
760.000,30.698
760.100,30.625
760.200,30.568
760.300,30.523
760.400,30.491
760.500,30.469
760.600,30.455
760.700,30.447
760.800,30.444
760.900,30.444
761.000,30.446
761.100,30.449
761.200,30.452
761.300,30.454
761.400,30.455
761.500,30.453
761.600,30.447
761.700,30.437
761.800,30.425
761.900,30.411
762.000,30.400
762.100,30.394
762.200,30.395
762.300,30.406
762.400,30.429
762.500,30.467
762.600,30.519
762.700,30.581
762.800,30.648
762.900,30.717
763.000,30.782
763.100,30.840
763.200,30.887
763.300,30.918
763.400,30.933
763.500,30.937
763.600,30.932
763.700,30.922
763.800,30.911
763.900,30.903
764.000,30.901
764.100,30.909
764.200,30.928
764.300,30.955
764.400,30.988
764.500,31.023
764.600,31.059
764.700,31.092
764.800,31.121
764.900,31.142
765.000,31.155
765.100,31.160
765.200,31.161
765.300,31.157
765.400,31.151
765.500,31.144
765.600,31.137
765.700,31.133
765.800,31.131
765.900,31.131
766.000,31.132
766.100,31.134
766.200,31.136
766.300,31.136
766.400,31.136
766.500,31.133
766.600,31.128
766.700,31.122
766.800,31.116
766.900,31.112
767.000,31.111
767.100,31.114
767.200,31.123
767.300,31.140
767.400,31.163
767.500,31.192
767.600,31.224
767.700,31.258
767.800,31.291
767.900,31.322
768.000,31.348
768.100,31.368
768.200,31.381
768.300,31.388
768.400,31.389
768.500,31.387
768.600,31.381
768.700,31.375
768.800,31.369
768.900,31.363
769.000,31.360
769.100,31.358
769.200,31.357
769.300,31.358
769.400,31.359
769.500,31.361
769.600,31.363
769.700,31.364
769.800,31.365
769.900,31.366
770.000,31.366
770.100,31.366
770.200,31.365
770.300,31.365
770.400,31.364
770.500,31.364
770.600,31.364
770.700,31.364
770.800,31.364
770.900,31.364
771.000,31.364
771.100,31.364
771.200,31.364
771.300,31.364
771.400,31.364
771.500,31.364
771.600,31.364
771.700,31.365
771.800,31.365
771.900,31.364
772.000,31.364
772.100,31.364
772.200,31.364
772.300,31.363
772.400,31.363
772.500,31.363
772.600,31.363
772.700,31.363
772.800,31.363
772.900,31.364
773.000,31.365
773.100,31.367
773.200,31.368
773.300,31.369
773.400,31.369
773.500,31.369
773.600,31.367
773.700,31.364
773.800,31.360
773.900,31.355
774.000,31.351
774.100,31.347
774.200,31.346
774.300,31.347
774.400,31.353
774.500,31.363
774.600,31.378
774.700,31.399
774.800,31.424
774.900,31.453
775.000,31.484
775.100,31.518
775.200,31.553
775.300,31.589
775.400,31.625
775.500,31.660
775.600,31.694
775.700,31.726
775.800,31.756
775.900,31.782
776.000,31.804
776.100,31.821
776.200,31.834
776.300,31.841
776.400,31.845
776.500,31.845
776.600,31.842
776.700,31.838
776.800,31.832
776.900,31.826
777.000,31.820
777.100,31.814
777.200,31.810
777.300,31.807
777.400,31.807
777.500,31.808
777.600,31.813
777.700,31.821
777.800,31.833
777.900,31.847
778.000,31.861
778.100,31.871
778.200,31.877
778.300,31.874
778.400,31.861
778.500,31.836
778.600,31.795
778.700,31.741
778.800,31.678
778.900,31.611
779.000,31.542
779.100,31.478
779.200,31.421
779.300,31.377
779.400,31.348
779.500,31.335
779.600,31.333
779.700,31.340
779.800,31.350
779.900,31.361
780.000,31.368
780.100,31.367
780.200,31.356
780.300,31.334
780.400,31.304
780.500,31.269
780.600,31.232
780.700,31.197
780.800,31.166
780.900,31.142
781.000,31.128
781.100,31.124
781.200,31.127
781.300,31.135
781.400,31.143
781.500,31.149
781.600,31.149
781.700,31.142
781.800,31.123
781.900,31.094
782.000,31.057
782.100,31.017
782.200,30.978
782.300,30.944
782.400,30.918
782.500,30.905
782.600,30.907
782.700,30.926
782.800,30.956
782.900,30.994
783.000,31.035
783.100,31.074
783.200,31.106
783.300,31.128
783.400,31.135
783.500,31.125
783.600,31.103
783.700,31.072
783.800,31.034
783.900,30.994
784.000,30.955
784.100,30.921
784.200,30.896
784.300,30.879
784.400,30.871
784.500,30.870
784.600,30.873
784.700,30.880
784.800,30.889
784.900,30.898
785.000,30.906
785.100,30.912
785.200,30.916
785.300,30.917
785.400,30.917
785.500,30.915
785.600,30.912
785.700,30.908
785.800,30.902
785.900,30.896
786.000,30.890
786.100,30.885
786.200,30.882
786.300,30.882
786.400,30.886
786.500,30.894
786.600,30.908
786.700,30.927
786.800,30.951
786.900,30.979
787.000,31.010
787.100,31.043
787.200,31.076
787.300,31.109
787.400,31.140
787.500,31.169
787.600,31.197
787.700,31.224
787.800,31.251
787.900,31.279
788.000,31.307
788.100,31.337
788.200,31.369
788.300,31.404
788.400,31.439
788.500,31.475
788.600,31.508
788.700,31.538
788.800,31.564
788.900,31.583
789.000,31.595
789.100,31.598
789.200,31.596
789.300,31.590
789.400,31.582
789.500,31.577
789.600,31.575
789.700,31.581
789.800,31.595
789.900,31.621
790.000,31.654
790.100,31.692
790.200,31.730
790.300,31.767
790.400,31.797
790.500,31.817
790.600,31.824
790.700,31.816
790.800,31.795
790.900,31.764
791.000,31.728
791.100,31.689
791.200,31.651
791.300,31.619
791.400,31.595
791.500,31.582
791.600,31.578
791.700,31.581
791.800,31.587
791.900,31.595
792.000,31.601
792.100,31.602
792.200,31.595
792.300,31.579
792.400,31.554
792.500,31.524
792.600,31.490
792.700,31.455
792.800,31.421
792.900,31.391
793.000,31.366
793.100,31.350
793.200,31.341
793.300,31.338
793.400,31.340
793.500,31.344
793.600,31.351
793.700,31.358
793.800,31.363
793.900,31.367
794.000,31.368
794.100,31.368
794.200,31.367
794.300,31.365
794.400,31.364
794.500,31.363
794.600,31.364
794.700,31.366
794.800,31.370
794.900,31.375
795.000,31.379
795.100,31.381
795.200,31.380
795.300,31.376
795.400,31.367
795.500,31.353
795.600,31.333
795.700,31.309
795.800,31.281
795.900,31.250
796.000,31.216
796.100,31.181
796.200,31.145
796.300,31.108
796.400,31.073
796.500,31.038
796.600,31.006
796.700,30.976
796.800,30.949
796.900,30.927
797.000,30.909
797.100,30.896
797.200,30.889
797.300,30.886
797.400,30.886
797.500,30.888
797.600,30.893
797.700,30.898
797.800,30.902
797.900,30.906
798.000,30.909
798.100,30.910
798.200,30.911
798.300,30.910
798.400,30.909
798.500,30.907
798.600,30.905
798.700,30.902
798.800,30.900
798.900,30.897
799.000,30.895
799.100,30.895
799.200,30.895
799.300,30.897
799.400,30.901
799.500,30.908
799.600,30.916
799.700,30.924
799.800,30.931
